item_id,project_id
7,2
14,3
16,4
16,12
30,2
30,8
35,10
40,3
43,5
56,3
56,11
61,5
64,3
65,3
66,5
69,3
70,3
72,3
73,4
73,12
74,3
76,8
79,4
79,12
98,7
105,5
109,3
110,3
113,4
113,12
118,3
119,5
128,6
129,7
142,4
142,12
147,3
148,4
148,5
148,12
150,4
150,12
160,3
171,1
177,7
177,8
178,2
178,8
179,2
179,8
195,7
197,9
197,10
198,3
204,4
204,12
220,10
224,10
227,9
229,8
232,3
233,8
248,6
250,4
250,12
262,9
267,3
268,9
269,4
269,12
271,3
273,3
276,3
293,1
298,9
299,11
310,4
310,12
317,5
327,6
347,3
347,7
355,3
358,3
361,9
362,3
363,3
366,3
368,3
371,3
379,10
396,4
396,12
397,6
399,7
399,8
429,4
429,12
435,4
435,12
453,4
453,12
462,1
472,10
476,11
492,7
493,3
496,2
512,4
512,12
513,5
522,6
523,9
527,6
530,3
530,5
531,5
531,9
533,9
534,9
538,5
540,2
541,3
551,9
555,9
558,3
558,11
560,3
561,3
562,9
564,3
591,2
595,1
609,10
610,9
620,5
626,6
627,6
628,9
629,11
639,5
643,2
651,9
652,7
653,1
681,4
681,12
685,4
685,12
690,9
703,2
704,3
708,4
708,12
715,2
724,5
734,3
736,5
739,3
740,3
745,9
747,4
747,6
747,12
748,4
748,12
751,4
751,12
755,9
756,7
758,3
761,3
763,8
766,11
767,3
776,5
786,3
789,5
790,11
791,5
797,5
798,10
801,3
805,5
818,5
822,3
823,3
824,2
824,8
825,2
825,8
833,5
851,3
853,8
855,5
857,4
857,12
860,4
860,12
863,10
864,5
868,4
868,12
887,5
890,4
890,12
893,5
901,3
909,5
910,4
910,12
918,2
919,6
920,3
921,8
922,5
928,3
942,9
943,5
954,3
955,3
956,11
958,4
958,12
960,3
960,11
963,3
965,4
965,12
967,9
968,3
972,3
974,3
975,3
975,4
975,6
975,12
979,9
980,3
989,5
990,5
991,2
996,4
996,12
1009,6
1010,9
1018,2
1020,5
1026,6
1028,5
1029,2
1029,8
1031,5
1034,6
1039,4
1039,12
1040,5
1040,8
1047,10
1056,2
1057,3
1058,10
1059,3
1064,9
1065,5
1072,4
1072,12
1073,4
1073,12
1074,5
1078,5
1081,5
1097,5
1098,5
1101,2
1102,2
1106,4
1106,12
1107,4
1107,12
1112,5
1113,5
1118,2
1119,3
1126,5
1134,7
1137,5
1138,5
1147,5
1148,5
1156,4
1156,12
1157,3
1157,4
1157,12
1158,3
1159,5
1163,5
1169,4
1169,12
1176,5
1178,5
1179,5
1185,10
1186,3
1187,4
1187,12
1189,8
1190,3
1191,3
1191,7
1196,10
1199,3
1200,3
1204,3
1205,4
1205,12
1213,5
1214,5
1219,11
1220,3
1220,11
1221,3
1221,11
1224,3
1224,11
1225,3
1225,7
1228,4
1228,12
1233,5
1236,8
1239,5
1244,4
1244,12
1247,5
1252,5
1253,5
1268,5
1273,5
1274,5
1278,3
1284,5
1286,5
1290,5
1292,3
1294,3
1296,3
1303,2
1309,5
1310,5
1312,4
1312,12
1320,8
1321,3
1322,9
1338,3
1339,3
1341,3
1344,3
1351,4
1351,12
1352,4
1352,12
1354,3
1362,5
1364,3
1366,3
1369,9
1370,3
1371,3
1382,10
1393,3
1394,10
1399,5
1415,5
1428,5
1431,3
1432,3
1433,3
1433,11
1435,9
1444,7
1445,5
1446,5
1449,6
1452,2
1455,3
1456,7
1460,5
1462,10
1463,3
1482,7
1482,8
1484,5
1487,11
1488,3
1489,3
1489,7
1490,9
1493,5
1494,5
1499,5
1503,4
1503,12
1506,5
1507,5
1513,4
1513,12
1514,3
1515,9
1516,3
1517,3
1521,3
1523,3
1525,9
1526,9
1528,9
1530,3
1533,3
1540,5
1546,4
1546,12
1557,5
1558,5
1563,8
1564,5
1566,5
1567,5
1568,5
1577,5
1581,10
1582,10
1583,10
1584,10
1585,10
1586,10
1587,4
1587,12
1591,5
1605,4
1605,12
1606,5
1607,5
1608,4
1608,12
1609,3
1609,4
1609,12
1610,3
1612,9
1618,2
1624,5
1625,5
1626,5
1631,5
1633,3
1634,2
1634,8
1635,2
1635,8
1641,4
1641,12
1645,5
1649,5
1655,9
1660,5
1667,3
1671,3
1672,3
1675,2
1680,5
1690,4
1690,12
1694,6
1698,6
1701,5
1709,3
1710,3
1718,5
1741,5
1742,5
1749,5
1750,4
1750,12
1755,10
1756,7
1756,8
1762,3
1762,11
1781,5
1790,4
1790,12
1794,3
1807,5
1813,4
1813,12
1820,4
1820,12
1828,9
1834,5
1835,4
1835,12
1846,4
1846,12
1852,9
1853,3
1854,3
1855,4
1855,12
1856,4
1856,12
1858,3
1859,3
1860,3
1872,3
1875,3
1878,3
1879,7
1885,4
1885,12
1895,4
1895,12
1896,3
1911,5
1916,4
1916,12
1917,4
1917,12
1924,9
1926,6
1929,9
1934,3
1934,5
1942,9
1943,4
1943,12
1955,3
1957,9
1958,4
1958,12
1961,5
1965,3
1966,3
1968,11
1969,3
1971,3
1975,5
1976,5
1994,4
1994,12
1995,4
1995,12
1997,3
1998,9
2001,4
2001,12
2003,5
2004,10
2005,10
2015,7
2016,4
2016,12
2017,4
2017,12
2018,6
2019,9
2027,5
2031,4
2031,12
2037,5
2039,4
2039,12
2045,5
2048,11
2049,4
2049,12
2052,5
2058,4
2058,12
2063,4
2063,12
2065,8
2066,3
2067,4
2067,12
2069,9
2069,10
2073,5
2077,4
2077,12
2083,5
2100,8
2104,6
2107,4
2107,12
2111,5
2125,4
2125,12
2130,2
2131,2
2142,4
2142,12
2143,4
2143,12
2146,5
2151,4
2151,12
2152,4
2152,12
2157,4
2157,12
2158,4
2158,12
2161,6
2163,11
2181,9
2186,5
2188,1
2193,4
2193,12
2201,3
2201,7
2202,3
2203,9
2213,3
2213,7
2215,9
2217,3
2219,9
2222,3
2224,3
2227,4
2227,12
2232,5
2237,2
2238,2
2239,8
2241,8
2242,4
2242,12
2264,3
2274,9
2275,9
2343,10
2344,2
2348,6
2358,5
2364,10
2366,5
2367,5
2370,5
2381,5
2387,5
2390,5
2393,5
2394,4
2394,12
2395,4
2395,12
2401,5
