item_id,location_id
4,38
5,39
7,40
11,24
14,19
26,41
30,42
35,14
40,43
56,5
56,15
63,17
64,44
64,45
64,46
64,47
64,48
64,49
65,50
68,17
69,44
69,45
69,46
69,47
69,48
69,49
70,50
71,51
72,52
72,53
74,54
74,55
74,56
75,57
76,58
78,59
81,60
82,61
85,24
92,62
97,63
98,64
106,65
108,66
109,67
110,67
118,68
123,69
129,12
131,70
137,71
147,43
150,72
160,17
171,73
177,74
178,42
179,75
189,69
195,12
196,76
197,77
198,5
206,62
216,51
218,51
220,78
222,79
223,80
224,78
225,81
227,82
228,61
229,83
231,84
232,44
232,45
232,46
232,47
232,48
232,49
233,58
243,24
262,85
263,41
267,86
268,82
271,87
272,84
273,88
276,5
279,73
283,65
284,65
293,89
298,90
299,91
300,19
309,17
311,17
315,39
328,92
333,93
347,94
349,95
350,17
351,65
355,96
356,97
358,98
360,99
361,100
362,101
363,102
365,103
366,104
368,105
370,106
371,105
372,107
378,41
379,14
388,51
389,62
396,41
397,108
399,74
431,62
432,39
446,109
449,110
462,73
472,111
473,112
476,15
485,113
486,41
492,12
493,114
522,108
523,82
530,68
531,85
532,75
533,85
534,85
536,97
537,41
540,107
541,44
541,45
541,46
541,47
541,48
541,49
543,115
544,116
546,117
547,118
548,119
549,120
550,121
551,82
553,83
554,83
555,82
557,95
558,122
560,123
561,50
562,124
564,125
593,112
595,73
602,41
609,111
610,126
618,18
626,108
628,90
629,91
631,17
651,85
652,12
653,73
657,112
685,113
686,107
690,127
692,122
704,5
711,93
714,128
715,129
716,130
722,39
723,131
731,17
734,105
735,120
738,80
739,132
739,133
740,123
741,134
744,86
745,13
746,135
750,136
752,110
754,99
755,137
756,138
758,101
760,121
761,119
762,120
763,58
766,139
767,140
786,105
790,15
798,14
801,5
820,141
822,131
823,141
824,42
829,122
833,128
850,142
851,5
853,42
854,81
855,39
863,14
883,143
886,143
901,67
911,144
913,81
918,40
920,5
921,58
928,5
928,17
928,18
935,122
942,82
950,110
951,145
954,136
955,136
956,146
957,99
960,147
961,117
962,103
963,104
964,148
967,82
968,132
968,133
969,84
970,84
972,136
973,149
974,150
975,125
978,151
979,128
980,152
988,122
1010,153
1018,92
1020,108
1026,108
1029,144
1040,58
1045,24
1047,111
1048,62
1057,125
1058,111
1059,125
1062,154
1063,84
1064,82
1086,110
1101,107
1102,129
1105,155
1108,81
1119,5
1120,97
1129,84
1134,156
1141,113
1144,41
1157,87
1158,5
1158,17
1170,157
1176,158
1179,41
1180,51
1185,159
1186,131
1189,42
1190,44
1190,45
1190,46
1190,47
1190,48
1190,49
1191,160
1196,14
1198,161
1199,162
1200,44
1200,45
1200,46
1200,47
1200,48
1200,49
1202,154
1203,163
1204,164
1208,165
1209,166
1211,167
1216,168
1218,113
1219,146
1220,169
1221,169
1222,170
1224,122
1225,94
1236,58
1264,171
1267,172
1278,68
1291,79
1292,123
1293,166
1294,173
1296,174
1297,175
1298,176
1299,24
1302,177
1315,42
1320,178
1321,152
1322,124
1338,44
1338,45
1338,46
1338,47
1338,48
1338,49
1339,131
1340,179
1341,44
1341,45
1341,46
1341,47
1341,48
1341,49
1342,61
1344,104
1354,113
1355,17
1355,24
1364,180
1365,181
1366,174
1368,114
1369,82
1370,44
1371,44
1372,170
1373,44
1373,45
1373,46
1373,47
1373,48
1373,49
1382,182
1393,5
1393,16
1394,183
1399,61
1403,62
1411,109
1412,184
1431,67
1432,67
1433,185
1434,17
1435,126
1436,186
1437,187
1444,12
1450,188
1452,40
1455,5
1456,12
1460,62
1462,111
1463,68
1473,122
1474,122
1481,37
1482,138
1483,118
1486,116
1487,139
1488,140
1489,160
1490,82
1492,189
1514,5
1515,126
1516,119
1517,190
1518,176
1519,191
1520,191
1521,125
1523,102
1524,113
1525,128
1526,128
1527,135
1528,192
1530,114
1533,44
1533,45
1533,46
1534,70
1535,145
1563,42
1571,19
1574,16
1581,111
1582,111
1583,111
1585,111
1600,192
1609,87
1610,5
1610,17
1612,13
1618,40
1619,17
1620,70
1622,19
1633,125
1634,42
1635,75
1636,24
1644,97
1655,90
1662,137
1667,114
1669,170
1671,113
1672,174
1676,75
1693,69
1696,193
1697,19
1709,38
1710,38
1711,194
1712,93
1752,161
1753,161
1755,78
1756,74
1757,195
1762,196
1763,197
1764,70
1766,79
1771,85
1779,193
1794,125
1795,40
1805,24
1806,198
1807,41
1815,155
1816,113
1826,19
1827,19
1828,90
1839,62
1852,128
1853,50
1854,50
1858,105
1859,105
1860,173
1867,41
1872,140
1873,199
1874,118
1875,106
1878,131
1879,12
1892,62
1893,17
1896,5
1899,200
1900,18
1909,17
1912,24
1919,155
1920,113
1924,127
1925,17
1929,201
1930,18
1934,68
1937,110
1941,202
1942,85
1954,97
1955,5
1957,126
1962,165
1963,99
1964,99
1965,203
1966,203
1967,166
1968,15
1969,50
1970,107
1971,204
1980,84
1981,118
1984,205
1986,116
1988,109
1989,116
1993,195
1997,104
1998,82
2000,17
2004,111
2005,111
2015,12
2018,108
2019,13
2048,116
2063,183
2064,206
2065,207
2066,101
2069,116
2074,97
2076,128
2084,93
2100,42
2130,129
2131,107
2145,62
2161,108
2162,61
2163,15
2175,131
2176,137
2181,13
2188,73
2197,41
2198,93
2200,208
2201,209
2202,44
2202,45
2202,46
2202,47
2202,48
2202,49
2203,69
2204,81
2205,51
2210,115
2211,103
2212,19
2212,24
2213,209
2215,124
2217,210
2218,97
2219,82
2222,204
2224,211
2237,129
2238,107
2239,42
2241,207
2252,212
2256,41
2265,17
2273,213
2274,213
2275,213
2281,85
2282,214
2328,41
2329,41
2330,41
2331,41
2332,41
2335,62
2343,14
2348,151
2355,17
2358,110
2364,111
2365,17
2366,17
2368,17
2371,17
2378,158
2379,41
2380,41
2392,41
2402,88
2414,111
2415,111
2439,215
2440,215
2443,5
2471,97
2481,216
2482,217
2483,143
2484,76
2486,218
2488,143
2496,217
2497,217
2498,219
2501,76
2502,76
2504,76
2506,220
2513,220
2516,128
2520,221
2523,14
2528,111
2529,128
2531,222
2538,223
2540,222
2554,51
2558,92
2559,128
2566,5
2567,5
2568,68
2569,68
2570,213
2571,214
2573,62
2585,76
2590,186
2591,13
